StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
26214,35904,58350,2827,, 31Eta CMa,,7.40158473,-29.30312,980.392157,2.45,-7.5069991,B5Ia        ,-0.083
76423,105199,203280,8162,Gl 826   ,  5Alp Cep,Alderamin,21.309606,62.5854553,14.9611011,2.45,1.57518221,A7IV-V      ,0.257
34012,45941,81188,3734,,   Kap Vel,,9.36856367,-55.010695,165.289256,2.47,-3.6212231,B2IV        ,-0.141
74382,102488,197989,7949,Gl 806.1A, 53Eps Cyg,,20.7701201,33.9694533,22.0945647,2.48,0.75857275,K0III       ,1.021
82712,113963,218045,8781,, 54Alp Peg,Markab,23.079338,15.2053679,42.8082192,2.49,-0.6676358,B9.5III     ,-0.002
9907,14135,18884,911,, 92Alp Cet,Menkar,3.03799418,4.08992539,67.4763833,2.54,-1.605759,M2III       ,1.63
58518,81377,149757,6175,, 13Zet Oph,,16.6193139,-10.567152,140.449438,2.54,-3.1976,O9.5V       ,0.038
49509,68002,121263,5231,,   Zet Cen,,13.9256764,-47.288266,117.924528,2.55,-2.8080207,B2.5IV      ,-0.176
40626,54872,97603,4357,Gl 419   , 68Del Leo,,11.2351145,20.5240338,17.6928521,2.56,1.32101077,A4V         ,0.128
56747,78820,144217,5984,,  8Bet1Sco,,16.0906208,-19.805393,162.601626,2.56,-3.4956244,B0.5V       ,-0.065
18430,25985,36673,1865,, 11Alp Lep,Arneb,5.54550386,-17.822292,393.700787,2.58,-5.3958314,F0Ib        ,0.211
43573,59196,105435,4621,,   Del Cen,,12.1393177,-50.72241,121.212121,2.58,-2.8377303,B2IVne      ,-0.128
43988,59803,106625,4662,,  4Gam Crv,,12.2634633,-17.541984,50.5561173,2.58,-0.9388686,B8III       ,-0.107
67523,93506,176687,7194,, 38Zet Sgr,,19.0435343,-29.880114,27.3149413,2.6,0.41799864,A3IV        ,0.062
54037,74785,135742,5685,, 27Bet Lib,,15.2834644,-9.3828669,49.0677134,2.61,-0.8439791,B8V         ,-0.071
55587,77070,140573,5854,Gl 596.2 , 24Alp Ser,Unukalhai,15.7377766,6.42551971,22.4517288,2.63,0.87375106,K2III       ,1.167
6195,8903,11636,553,Gl  80   ,  6Bet Ari,,1.91065251,20.8082995,18.2681768,2.64,1.33152397,A5V...      ,0.165
18937,26634,37795,1956,,   Alp Col,,5.66081665,-34.074049,82.2368421,2.65,-1.9253321,B7IV        ,-0.12
20267,28380,40312,2095,, 37The Aur,,5.99534393,37.2127641,53.1067446,2.65,-0.9757484,A0p Si      ,-0.083
45073,61359,109379,4786,,  9Bet Crv,,12.5731206,-23.396623,42.8449015,2.65,-0.5094957,G5II        ,0.893
4667,6686,8538,403,, 37Del Cas,,1.43016751,60.2354035,30.4785127,2.66,0.24003115,A5Vv SB     ,0.16
49456,67927,121370,5235,Gl 534   ,  8Eta Boo,,13.9114212,18.3985874,11.3417262,2.68,2.4066042,G0IV        ,0.58
53019,73273,132058,5571,,   Bet Lup,,14.9755428,-43.133867,160.513644,2.68,-3.3475598,B2III       ,-0.184
16265,23015,31398,1577,,  3Iot Aur,,4.94989339,33.1661354,156.985871,2.69,-3.2893028,K3IIvar     ,1.49
39097,52727,93497,4216,,   Mu  Vel,,10.7794784,-49.420125,35.4861604,2.69,-0.0602951,G5III SB    ,0.901
45220,61585,109668,4798,,   Alp Mus,,12.6197455,-69.135534,93.7207123,2.69,-2.1691779,B2IV-V      ,-0.176
61677,85696,158408,6508,, 34Ups Sco,,17.512733,-37.29574,158.982512,2.7,-3.3067468,B2IV        ,-0.179
25715,35264,56855,2773,,   Pi  Pup,,7.28571226,-37.097487,335.57047,2.71,-4.9189187,K3Ib        ,1.616
64804,89931,168454,6859,, 19Del Sgr,,18.3498949,-29.828039,93.7207123,2.72,-2.1391779,K3III       ,1.38
70401,97278,186791,7525,, 50Gam Aql,Tarazed,19.7709917,10.6132687,141.242938,2.72,-3.0298337,K3II        ,1.507
57295,79593,146051,6056,,  1Del Oph,,16.2391017,-3.6939756,52.1920668,2.73,-0.8580225,M1III       ,1.584
57797,80331,148387,6132,Gl 624.1A, 14Eta Dra,,16.399863,61.5140754,26.8961807,2.73,0.58154693,G8III       ,0.91
38870,52419,93030,4199,,   The Car,,10.7159519,-64.394479,134.589502,2.74,-2.9050559,B0Vp        ,-0.22
45451,61941,110379,4825,Gl 482  A, 29Gam Vir,,12.694445,-1.4495223,11.8301195,2.74,2.37505435,F0V+...     ,0.368
18635,26241,37043,1899,, 44Iot Ori,,5.59055031,-5.9098998,406.504065,2.75,-5.2953245,O9III       ,-0.21
47527,65109,115892,5028,Gl 508.1 ,   Iot Cen,,13.3433515,-36.712081,17.9726815,2.75,1.47693561,A2V         ,0.068
52562,72622,130841,5531,Gl 564.1 ,  9Alp2Lib,,14.8479937,-16.04161,23.6686391,2.75,0.87913357,A3IV        ,0.147
62441,86742,161096,6603,, 60Bet Oph,,17.7245491,4.56691684,25.1382604,2.76,0.75832389,K2III       ,1.168
16898,23875,33111,1666,Wo 9175  , 67Bet Eri,,5.13084276,-5.0862628,27.2405339,2.78,0.60392192,A3IIIvar    ,0.161
58128,80816,148856,6148,, 27Bet Her,,16.5036838,21.4896485,45.3103761,2.78,-0.5009883,G8III       ,0.947
60677,84345,156014,6406,, 64Alp1Her,Rasalgethi,17.2441285,14.3902531,117.233294,2.78,-2.5652548,M5IIvar     ,1.164
43947,59747,106490,4656,,   Del Cru,,12.2524325,-58.748902,111.607143,2.79,-2.44846,B2IV        ,-0.193
61657,85670,159181,6536,, 23Bet Dra,,17.5072158,52.301359,110.864745,2.79,-2.4339673,G2II        ,0.954
55049,76297,138690,5776,,   Gam Lup,,15.5856834,-41.166695,173.913044,2.8,-3.4016608,B2IV        ,-0.216
18150,25606,36079,1829,,  9Bet Lep,Nihal,5.47075731,-20.759232,48.8042948,2.81,-0.6322902,G5II        ,0.807
58736,81693,150680,6212,Gl 635  A, 40Zet Her,,16.6881881,31.601887,10.7956386,2.81,2.64375832,F9IV        ,0.65
1451,2021,2151,98,Gl  19   ,   Bet Hyi,,0.42755612,-77.255035,7.47495889,2.82,3.45195596,G2IV        ,0.618
58437,81266,149438,6165,, 23Tau Sco,,16.5980443,-28.215962,131.752306,2.82,-2.7787911,B0V         ,-0.206
65228,90496,169916,6913,Gl 713.1 , 22Lam Sgr,,18.466186,-25.421247,23.6966825,2.82,0.94656226,K1IIIb      ,1.025
782,1067,886,39,, 88Gam Peg,Algenib,0.22059721,15.1836159,102.145046,2.83,-2.2160865,B2IV        ,-0.19
29194,39757,67523,3185,, 15Rho Pup,,8.12575059,-24.304437,19.2344682,2.83,1.40959909,F2mF5IIp    ,0.458
56159,77952,141891,5897,Gl 601  A,   Bet TrA,,15.9191133,-63.42975,12.3092073,2.83,2.37884957,F2III       ,0.315
12791,18246,24398,1203,, 44Zet Per,,3.90219957,31.8836578,301.204819,2.84,-4.5543096,B1Ib        ,0.271
61345,85258,157244,6461,,   Bet Ara,,17.4216659,-55.529824,184.842884,2.84,-3.4940137,K3Ib-II     ,1.479
61747,85792,158427,6510,,   Alp Ara,,17.5307004,-49.875982,74.2942051,2.84,-1.5147747,B2Vne       ,-0.136
12393,17702,23630,1165,, 25Eta Tau,Alcyone,3.79140671,24.1052419,112.739572,2.85,-2.4103819,B7III       ,-0.086
46533,63608,113226,4932,, 47Eps Vir,Vindemiatrix,13.0363224,10.9591019,31.3479624,2.85,0.36895342,G8IIIvar    ,0.934
78188,107556,207098,8322,Gl 837   , 49Del Cap,,21.7839681,-16.126566,11.823126,2.85,2.4863384,A5mF2 (IV)  ,0.18
86307,0,60178,2890,Gl 278  B, 66Alp Gem,,7.57697783,31.8918828,15.805279,2.85,1.85598917,  A m       ,
6432,9236,12311,591,Gl  83   ,   Alp Hyi,,1.97940884,-61.569924,21.8627022,2.86,1.1614808,F0V         ,0.29
70319,97165,186882,7528,, 18Del Cyg,,19.7495673,45.130692,52.4383849,2.86,-0.7382465,B9.5III     ,-0.002
21860,30343,44478,2286,, 13Mu  Gem,,6.3826642,22.5138503,71.0732054,2.87,-1.3885295,M3IIIvar    ,1.621
54151,74946,135382,5671,,   Gam TrA,,15.3151913,-68.679467,56.022409,2.87,-0.8718089,A1V         ,0.014
80072,110130,211416,8502,,   Alp Tuc,,22.3083828,-60.259495,60.9013398,2.87,-1.0531342,K3III       ,1.39
9709,13847,18622,897,,   The1Eri,,2.97103212,-40.304735,49.4559842,2.88,-0.5910942,A4III+...   ,0.128
68019,94141,178524,7264,, 41Pi  Sgr,,19.1627316,-21.023525,134.952767,2.88,-2.770909,F2II/III    ,0.377
26419,36188,58715,2845,,  3Bet CMi,,7.45252008,8.28940893,52.1920668,2.89,-0.6980225,B8Vvar      ,-0.097
46223,63125,112413,4915,, 12Alp2CVn,,12.9338447,38.3182462,33.7837838,2.89,0.24645856,A0spe...    ,-0.115
56365,78265,143018,5944,,  6Pi  Sco,,15.9808669,-26.114043,140.84507,2.89,-2.8537083,B1V + B2V   ,-0.18
12986,18532,24760,1220,, 45Eps Per,,3.96422809,40.0102732,165.016502,2.9,-3.1876369,B0.5V       ,-0.199
57640,80112,147165,6084,, 20Sig Sco,,16.3531451,-25.592753,225.225225,2.9,-3.8630851,B1III       ,0.299
77257,106278,204867,8232,, 22Bet Aqr,,21.525978,-5.5711559,187.617261,2.9,-3.466364,G0Ib        ,0.828
10038,14328,18925,915,, 23Gam Per,,3.07994173,53.5064503,78.6163522,2.91,-1.5675644,G8III+...   ,0.716
35592,48002,85123,3890,,   Ups Car,,9.78503822,-65.072019,497.512438,2.92,-5.5640197,A9          ,0.273
81457,112158,215182,8650,, 44Eta Peg,,22.7167024,30.2213087,65.8761528,2.93,-1.1636411,G2II-III..  ,0.852
23782,32768,50310,2553,,   Tau Pup,,6.83226023,-50.6144,56.022409,2.94,-0.8018089,K0III...    ,1.207
44806,60965,108767,4757,,  7Del Crv,,12.4977731,-16.515094,26.9469146,2.94,0.78745477,B9.5V       ,-0.012
79284,109074,209750,8414,, 34Alp Aqr,,22.0963959,-0.3198266,232.55814,2.95,-3.8826577,G2Ib        ,0.969
12992,18543,25025,1231,, 34Gam Eri,,3.96714724,-13.508245,67.7966102,2.97,-1.1860399,M1IIIb Ca-1 ,1.588
18796,26451,37202,1910,,123Zet Tau,,5.62741229,21.142593,127.877238,2.97,-2.5639662,B4IIIp      ,-0.148
35524,47908,84441,3873,, 17Eps Leo,,9.76419511,23.7742779,76.8639508,2.97,-1.4586135,G0II        ,0.808
63828,88635,165135,6746,, 10Gam2Sgr,,18.0968124,-30.42365,29.4637596,2.98,0.63355919,K0III       ,0.981
47425,64962,115659,5020,, 46Gam Hya,,13.3153482,-23.171412,40.5022276,2.99,-0.0473946,G8III       ,0.92
62676,87073,161471,6615,,   Iot1Sco,,17.7930781,-40.126982,549.45055,2.99,-5.7096431,F3Ia        ,0.509
67718,93747,177724,7235,NN 4095 A, 17Zet Aql,,19.0901701,13.8637098,25.5232261,2.99,0.95532216,A0Vn        ,0.014
7008,10064,13161,622,,  4Bet Tri,,2.15903358,34.987392,38.1097561,3,0.09481915,A5III       ,0.14
40371,54539,96833,4335,, 52Psi UMa,,11.1610721,44.4985534,45.0247636,3,-0.2672572,K1III       ,1.144
54251,75097,137422,5735,, 13Gam UMi,,15.3454859,71.8339731,147.275405,3,-2.8406511,A3II-III    ,0.058
59345,82514,151890,6247,,   Mu 1Sco,,16.8645108,-38.047327,251.889169,3,-4.0060475,B1.5IV + B  ,-0.2
78568,108085,207971,8353,,   Gam Gru,,21.8987928,-37.364823,62.2277536,3,-0.9699206,B8III       ,-0.084
