StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
70914,97944,188088,7578,Gl 770   ,          , ,19.90495107,-23.9400745,14.21666193,6.22,5.45601182,K3/K4V      ,1.017
72712,100268,193702,7784,,          , ,20.33756175,39.40328172,108.9324619,6.22,1.034213406,A1V         ,0.06
73855,101810,196610,7886,,          , ,20.63186288,18.26843117,109.1703057,6.22,1.029477368,M6III       ,1.162
73980,101965,196317,7872,,          , ,20.6643662,-62.90759808,130.5483029,6.22,0.641143848,K1III       ,1.099
77496,106605,205541,8258,,          , ,21.59084131,24.45218695,211.4164905,6.22,-0.405694296,A4V         ,0.141
77609,106758,205765,8263,,          , ,21.62604806,-0.39049406,122.2493888,6.22,0.783766518,A2V         ,0.056
77653,106818,205417,8249,,          , ,21.63411238,-64.82414493,181.1594203,6.22,-0.070304611,A0/A1IV     ,0.021
81034,111548,213884,8593,,          , ,22.59800972,-57.88372842,67.6132522,6.22,2.06984087,F0Vn        ,0.212
82454,113610,217428,8750,,  3    Psc, ,23.01052212,0.18583971,196.0784314,6.22,-0.24214912,G4III       ,0.892
83954,115759,220802,8910,,          , ,23.45252255,-50.15726501,155.5209953,6.22,0.261054865,B9V         ,-0.08
85480,117927,224103,9048,, 26    Psc, ,23.91882755,7.07101644,123.7623762,6.22,0.757056804,B9V         ,-0.066
3194,4563,5771,281,,          , ,0.97282733,-60.69629569,170.9401709,6.23,0.06577933,Am          ,0.096
3728,5319,6680,327,, 78    Psc, ,1.13366786,32.01219214,41.89359028,6.23,3.119262095,F5IV        ,0.398
4180,5992,7916,380,,          , ,1.28435588,-66.39789075,103.1991744,6.23,1.161618885,A0V         ,0.052
5195,7436,9766,455,,101    Psc, ,1.59623346,14.66144102,704.2253521,6.23,-3.008558278,B9.5III     ,-0.036
8537,12200,16220,761,,          , ,2.61847571,32.89101724,55.21811154,6.23,2.519592252,F8V         ,0.515
8907,12717,17326,823,,          , ,2.72401811,-66.71405573,54.46623094,6.23,2.549363384,F5V         ,0.542
9435,13462,17818,849,,          , ,2.88918577,48.56998491,1587.301587,6.23,-4.773297253,G5Iab:      ,1.18
14618,20771,28191,1400,,          , ,4.45018203,2.0795598,121.0653753,6.23,0.814900237,K1III       ,1.087
18010,25410,35532,1798,,113    Tau, ,5.43492289,16.70017305,200.8032129,6.23,-0.283853286,B2Vn        ,-0.084
18338,25869,36430,1848,,          , ,5.52247009,-6.70838162,540.5405405,6.23,-2.434141358,B2V         ,-0.178
19005,26718,37536,1939,,          , ,5.67834725,31.92061792,420.1680672,6.23,-1.887115215,M2SIab      ,2.088
19193,26964,37967,1961,,          , ,5.72208292,23.20441036,336.7003367,6.23,-1.406217753,B2.5Ve      ,-0.071
20466,28644,40832,2122,,          , ,6.04864366,32.63621103,49.95004995,6.23,2.737320366,F4V         ,0.456
20636,28861,41269,2139,,          , ,6.0927505,33.59907187,287.3563218,6.23,-1.06210378,B9sp...     ,-0.079
22984,31766,47432,2442,,          , ,6.64394096,1.61352424,1041.666667,6.23,-3.858643835,O9.5II      ,0.086
24053,33126,50853,2578,,          , ,6.89873767,-24.53875948,144.7178003,6.23,0.427390237,A0V         ,0.016
24306,33451,51825,2612,Gl 255  A,          , ,6.95489253,-35.50720085,43.19654428,6.23,3.052754977,F5V         ,0.465
24411,33590,52362,2626,,          , ,6.97826141,-45.76758269,130.2083333,6.23,0.6568061,A0V         ,-0.006
25148,34536,54662,2694,,          , ,7.15562515,-10.34657429,1785.714286,6.23,-5.029059865,O6          ,-0.018
25208,34617,54958,2705,,          , ,7.1692658,-18.68559657,49.80079681,6.23,2.743818542,F3V         ,0.419
26078,35737,57708,2807,,          , ,7.37183101,-2.97915985,181.1594203,6.23,-0.060304611,F5          ,0.686
26534,36340,59059,2858,,          , ,7.47979387,15.10985983,235.8490566,6.23,-0.633170717,B9IV        ,-0.04
27375,37404,61630,2953,,          , ,7.67977391,13.77126983,317.4603175,6.23,-1.278447231,K0          ,1.393
27984,38184,63655,3042,,          , ,7.82466916,-13.35292144,574.7126437,6.23,-2.567253759,B8/B9II     ,-0.078
28391,38723,64491,3083,,          , ,7.92801912,35.41274781,60.42296073,6.23,2.323989991,A3p         ,0.277
30852,41894,71952,3351,,          , ,8.5426219,53.11502806,60.06006006,6.23,2.337071189,K0IV        ,1.008
36021,48584,85905,3921,,          , ,9.90884188,-22.48745326,140.2524544,6.23,0.495447649,A2/A3III    ,0.052
36619,49394,87652, , ,,,10.08385076,-51.31364777,163.132137,6.23,0.167302373,B8/B9III    ,-0.054
36822,49658,87822,3979,,          , ,10.13776173,31.60427591,63.29113924,6.23,2.223285435,F4V         ,0.469
36992,49900,88372,4000,,          , ,10.18826593,-7.31659367,148.3679525,6.23,0.373299483,A2Vn        ,0.026
37113,50066,88699,4011,,          , ,10.22207842,-27.02897817,125.3132832,6.23,0.740014457,A9m...      ,0.316
41357,55941,99651,4419,,          , ,11.46492519,-1.69995329,160,6.23,0.209400087,K2III:      ,1.037
41774,56550,100826, , ,,,11.59509556,-61.28787407,1351.351351,6.23,-4.423841401,A0Ib        ,0.131
43442,59008,105078,4612,,          , ,12.0990808,-35.69393235,223.2142857,6.23,-0.51360993,B7V         ,-0.073
43470,59046,105138,4614,,          , ,12.10553703,-68.65140083,578.0346821,6.23,-2.579769484,G3Ib        ,1.237
43735,59439,105920,4637,,          , ,12.19213078,-51.35917843,53.39028297,6.23,2.592688887,G6III+...   ,0.816
44139,60018,107054,4680,,          , ,12.30876906,30.24933506,55.3709856,6.23,2.51358873,A9.5III     ,0.31
44699,60813,108506,4746,,          , ,12.46433304,-4.6152824,91.74311927,6.23,1.41713249,F2III       ,0.43
49813,68478,122405,5263,, 11    Boo, ,14.01959243,27.38654762,104.2752868,6.23,1.139093036,A7III       ,0.193
50474,69458,124281,5314,,          , ,14.22034661,-26.61226602,217.3913043,6.23,-0.456210842,K0III       ,1.071
50554,69569,124755,5335,,          , ,14.23987926,41.51901546,44.64285714,6.23,2.981240092,K3III:      ,1.071
54798,75915,137919, , ,,,15.5059185,-41.91896389,154.3209877,6.23,0.287875029,B9V         ,-0.005
54898,76063,138204,5751,,          , ,15.53450679,-38.62237167,53.64806867,6.23,2.58222954,A3III       ,0.212
58833,81823,150097, , ,,,16.71344994,-62.55390958,450.4504505,6.23,-2.038235128,K3III       ,1.524
68650,94974,181960,7351,,          , ,19.32678377,54.37605672,137.9310345,6.23,0.531690033,A1V         ,0.03
71391,98563,189942,7655,,          , ,20.02091057,37.09887283,307.6923077,6.23,-1.210583195,K0III       ,1.314
